1.html , Spring 2004 Women's Tennis Schedule,  Oct 18 (Sat) 09:00 AM, Patriot League Championship, Bethlehem Pa., Lehigh wins three titles,
1.html , Spring 2004 Women's Tennis Schedule,  Oct 25 (Sat), ITA Division I East Regional Championships, Blacksburg VA, Complete results,
197.html , Spring 2013 Softball Schedule,  Apr 23 (Tue) 3:00:00 PM, Columbia, Kaufman Field, W, 5-1,
197.html , Spring 2013 Softball Schedule,  Apr 23 (Tue) 5:00:00 PM, Columbia, Kaufman Field, W, 4-3,
197.html , Spring 2013 Softball Schedule,  Apr 27 (Sat) 12:00:00 PM, Colgate, Hamilton N.Y., W, 7-2,
197.html , Spring 2013 Softball Schedule,  Apr 27 (Sat) 2:00:00 PM, Colgate, Hamilton N.Y., W, 3-0,
197.html , Spring 2013 Softball Schedule,  Apr 28 (Sun) 12:00:00 PM, Colgate, Hamilton N.Y., W, 7-0,
197.html , Spring 2013 Softball Schedule,  Apr 28 (Sun) 2:00:00 PM, Colgate, Hamilton N.Y., W, 3-1,
197.html , Spring 2013 Softball Schedule,  May 9 (Thu) 12:00:00 PM, Colgate, Kaufman Field, W, 3-1,
197.html , Spring 2013 Softball Schedule,  May 10 (Fri) 10:00:00 AM, Army, Kaufman Field, W, 8-0,
197.html , Spring 2013 Softball Schedule,  May 11 (Sat) 10:00:00 AM, Army, Kaufman Field, L, 0-4,
197.html , Spring 2013 Softball Schedule,  May 11 (Sat) 12:00:00 PM, Army, Kaufman Field, L, 0-5,
198.html , All 2006-2007 Men's Golf Schedule,  Sep 9 (Sat) Sep 10 (Sun), Colgate Invitational, Hamilton N.Y., Na,8 of 17,
198.html , All 2006-2007 Men's Golf Schedule,  Sep 15 (Fri) Sep 16 (Sat), Bucknell Invitational, Lewisburg Pa., Na,5 of 15,
198.html , All 2006-2007 Men's Golf Schedule,  Sep 30 (Sat) Oct 1 (Sun), Cornell Invitational, Ithaca N.Y., Na,12 of 15,
198.html , All 2006-2007 Men's Golf Schedule,  Oct 6 (Fri) Oct 8 (Sun), Yale Invitational, New Haven Conn., Na,6 of 18,
198.html , All 2006-2007 Men's Golf Schedule,  Oct 15 (Sun) Oct 16 (Mon), Don Mershon Invitational, Telford Pa., T2 of 11,
198.html , All 2006-2007 Men's Golf Schedule,  Mar 24 (Sat) Mar 25 (Sun), George Washington Invitational, Bethany Beach Del., Na,15 of 24,
198.html , All 2006-2007 Men's Golf Schedule,  Apr 6 (Fri) Apr 7 (Sat), Navy Invitational, Annapolis Md., Na,22 of 25,
198.html , All 2006-2007 Men's Golf Schedule,  Apr 14 (Sat) Apr 15 (Sun), Lafayette Invitational, Center Valley Pa., Na,1 of 24,
198.html , All 2006-2007 Men's Golf Schedule,  Apr 18 (Wed) 01:00 PM, Lehigh Valley Collegiate Invite, Bethlehem Pa., Na,1 of 4,
198.html , All 2006-2007 Men's Golf Schedule,  Apr 21 (Sat) Apr 22 (Sun), Patriot League Championship, Lewisburg Pa., Na,4 of 7,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Nov 9 (Fri) 5:00:00 PM, Baylor, Waco Texas, L, 77-99,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Nov 12 (Mon) 8:30:00 PM, Robert Morris, Pittsburgh Pa., W, 89-60,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Nov 13 (Tue) 9:00:00 PM, Pittsburgh, Pittsburgh Pa., L, 53-78,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Nov 19 (Mon) 8:30:00 PM, Fairfield, Stabler Arena, W, 82-67,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Nov 20 (Tue) 8:30:00 PM, Penn, Stabler Arena, W, 73-66,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Nov 25 (Sun) 2:00:00 PM, Sacred Heart, Fairfield Conn., W, 91-77,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Nov 27 (Tue) 7:00:00 PM, Quinnipiac, Hamden Conn., W, 77-66,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Dec 1 (Sat) 7:00:00 PM, Fairleigh Dickinson, Stabler Arena, W, 102-62,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Dec 4 (Tue) 7:00:00 PM, Fordham, Stabler Arena, W, 81-63,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Dec 8 (Sat) 2:00:00 PM, Saint Francis (Pa.), Loretto Pa., W, 83-67,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Dec 20 (Thu) 8:00:00 PM, North Texas, Denton Texas, W, 90-75,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Dec 29 (Sat) 7:00:00 PM, Bryant, Stabler Arena, L, 79-80,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Jan 5 (Sat) 5:00:00 PM, VCU, Richmond Va., L, 55-59,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Jan 8 (Tue) 7:00:00 PM, Muhlenberg, Stabler Arena, W, 81-46,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Jan 12 (Sat) 2:00:00 PM, Holy Cross, Stabler Arena, W, 79-47,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Jan 16 (Wed) 7:30:00 PM, American, Washington D.C., W, 63-57,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Jan 19 (Sat) 7:00:00 PM, Colgate, Stabler Arena, W, 60-45,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Jan 23 (Wed) 6:00:00 PM, Bucknell, Lewisburg Pa., W, 65-62,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Jan 27 (Sun) 12:00:00 PM, Lafayette, Stabler Arena, L, 57-78,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Jan 30 (Wed) 7:00:00 PM, Navy, Annapolis Md., W, 71-49,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Feb 3 (Sun) 1:00:00 PM, Army, West Point N.Y., W, 85-76,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Feb 9 (Sat) 7:00:00 PM, Holy Cross, Worcester Mass., W, 68-61,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Feb 13 (Wed) 7:00:00 PM, American, Stabler Arena, W, 60-47,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Feb 16 (Sat) 2:00:00 PM, Colgate, Hamilton N.Y., L, 60-64,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Feb 18 (Mon) 7:00:00 PM, Bucknell, Stabler Arena, L, 55-61,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Feb 24 (Sun) 12:00:00 PM, Lafayette, Easton Pa., L, 71-79,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Feb 27 (Wed) 7:00:00 PM, Navy, Stabler Arena, W, 72-43,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Mar 2 (Sat) 12:00:00 PM, Army, Stabler Arena, W, 81-75,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Mar 6 (Wed) 7:00:00 PM, Colgate, Stabler Arena, W, 71-64,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Mar 9 (Sat) 2:00:00 PM, Lafayette, Easton Pa., L, 69-82,
199.html , Winter 2012-2013 Men's Basketball Schedule,  Mar 19 (Tue) 9:00:00 PM, Wyoming, Laramie Wyo., L, 66-67,
201.html , All 2008-2009 Rowing Schedule,  Sep 21 (Sun) 09:00 AM, Head of the Potomac, Washington D.C., Final Results,
201.html , All 2008-2009 Rowing Schedule,  Sep 27 (Sat) 08:00 AM, Brown and White Dual, Allentown Pa., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  Oct 4 (Sat) 10:00 AM, Loyola College/Franklin and Marshall, Allentown Pa., Final Results,
201.html , All 2008-2009 Rowing Schedule,  Oct 11 (Sat) 10:00 AM, Navy Day Regatta, Philadelphia Pa., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  Oct 18 (Sat) 08:00 AM, Head of the Charles, Boston Mass., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  Nov 8 (Sat) 09:00 AM, Frostbite Regatta, Philadelphia Pa., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  Mar 14 (Sat) 09:00 AM, St. Joseph's-Delaware-DrexelMen vs. Drexel vs Lehigh, Philadelphia Pa., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  Mar 20 (Fri) 04:30 PM, Rutgers, Allentown Pa., Na, Na
201.html , All 2008-2009 Rowing Schedule,  Mar 28 (Sat) 09:00 AM, Murphy Cup, Philadelphia Pa., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  Apr 4 (Sat) 10:00 AM, Iona/Franklin & Marshall, Allentown Pa., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  Apr 5 (Sun) 09:00 AM, Occoquan Sprints, Lorton Va., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  Apr 10 (Fri) 09:00 AM, Knecht Cup, Camden N.J., Final Results,
201.html , All 2008-2009 Rowing Schedule,  Apr 18 (Sat) 08:45 AM, Lehigh River Cup, Allentown Pa., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  Apr 26 (Sun) 08:00 AM, Patriot League Championship, Pennsauken N.J., Complete Results,
201.html , All 2008-2009 Rowing Schedule,  May 8 (Fri) TBA, Dad Vail Regatta, Philadelphia Pa., Final Results,
201.html , All 2008-2009 Rowing Schedule,  May 23 (Sat) 07:00 AM, ACRA National Championship, Oak Ridge Tenn., Final Results,
202.html , Fall 2005 Men's Soccer Schedule,  Sep 2 (Fri) 07:00 PM, Cornell, Ithaca N.Y., W, 1-0,
202.html , Fall 2005 Men's Soccer Schedule,  Sep 9 (Fri) 12:00 PM, Temple, Philadelphia Pa., W, 6-0,
202.html , Fall 2005 Men's Soccer Schedule,  Sep 11 (Sun) 02:30 PM, Penn, Philadelphia Pa., L, 1-2,
202.html , Fall 2005 Men's Soccer Schedule,  Sep 17 (Sat) 07:00 PM, No. 20 Binghamton, Ulrich Sports Complex, W, 1-0,
202.html , Fall 2005 Men's Soccer Schedule,  Sep 23 (Fri) 7:30:00 PM, Navy, Ulrich Sports Complex, W, 1-0,
202.html , Fall 2005 Men's Soccer Schedule,  Sep 25 (Sun) 01:00 PM, Richmond, Richmond Va., T, 1-1 2 OT,
202.html , Fall 2005 Men's Soccer Schedule,  Sep 28 (Wed) 07:00 PM, George Washington, Ulrich Sports Complex, W, 2-0,
202.html , Fall 2005 Men's Soccer Schedule,  Oct 1 (Sat) 3:00:00 PM, Holy Cross, Worcester Mass., W, 2-1,
202.html , Fall 2005 Men's Soccer Schedule,  Oct 9 (Sun) 3:00:00 PM, American, Washington D.C., L, 1-2 OT,
202.html , Fall 2005 Men's Soccer Schedule,  Oct 15 (Sat) 7:00:00 PM, Army, Ulrich Sports Complex, W, 4-1,
202.html , Fall 2005 Men's Soccer Schedule,  Oct 19 (Wed) 07:00 PM, Adelphi, Ulrich Sports Complex, W, 4-0,
202.html , Fall 2005 Men's Soccer Schedule,  Oct 22 (Sat) 7:00:00 PM, Bucknell, Lewisburg Pa., L, 0-1,
202.html , Fall 2005 Men's Soccer Schedule,  Oct 26 (Wed) 07:00 PM, UMBC, Catonsville Md., W, 1-0,
202.html , Fall 2005 Men's Soccer Schedule,  Oct 29 (Sat) 7:00:00 PM, Colgate, Ulrich Sports Complex, W, 2-1,
202.html , Fall 2005 Men's Soccer Schedule,  Nov 5 (Sat) 7:00:00 PM, Lafayette, Easton Pa., L, 1-2,
202.html , Fall 2005 Men's Soccer Schedule,  Nov 11 (Fri) 01:30 PM, Lafayette, Washington D.C., T, 0-0 Lafayette wins shootout, 4-3,
203.html , Winter 2007-2008 Wrestling Schedule,  Oct 30 (Tue) 07:00 PM, Wrestle-Offs, Leeman-Turner Arena, Na,recap,
203.html , Winter 2007-2008 Wrestling Schedule,  Nov 11 (Sun) 01:00 PM, No. 20 Pittsburgh, Leeman-Turner Arena, L, 9-24,
203.html , Winter 2007-2008 Wrestling Schedule,  Nov 16 (Fri) 08:30 PM, No. 14 Nebraska, Lincoln Neb., L, 13-28,
203.html , Winter 2007-2008 Wrestling Schedule,  Nov 17 (Sat) 10:00 AM, UNO Kaufman-Brand Open, Omaha Neb., no team score - recap,
203.html , Winter 2007-2008 Wrestling Schedule,  Nov 24 (Sat) 10:00 AM, Virginia, Troy N.Y., L, 12-23,
203.html , Winter 2007-2008 Wrestling Schedule,  Nov 24 (Sat) 12:00 PM, No. 9 Central Michigan, Troy N.Y., L, 0-39,
203.html , Winter 2007-2008 Wrestling Schedule,  Nov 24 (Sat) 02:00 PM, Binghamton, Troy N.Y., W, 35-10,
203.html , Winter 2007-2008 Wrestling Schedule,  Nov 24 (Sat) 04:00 PM, Clarion, Troy N.Y., W, 21-15,
203.html , Winter 2007-2008 Wrestling Schedule,  Nov 30 (Fri) 7:00:00 PM, Rutgers, Leeman-Turner Arena, W, 24-13,
203.html , Winter 2007-2008 Wrestling Schedule,  Dec 2 (Sun) 02:00 PM, No. 24 Maryland, College Park Md., L, 9-25,
203.html , Winter 2007-2008 Wrestling Schedule,  Dec 2 (Sun) 6:00:00 PM, American, Washington D.C., W, 27-15,
203.html , Winter 2007-2008 Wrestling Schedule,  Dec 7 (Fri) 07:00 PM, No. 5 Penn State, Stabler Arena, L, 0-33,
203.html , Winter 2007-2008 Wrestling Schedule,  Dec 30 (Sun) 12:00 PM, Eastern Michigan, Ann Arbor Mich., L, 16-20,
203.html , Winter 2007-2008 Wrestling Schedule,  Dec 30 (Sun) 02:00 PM, Buffalo, Ann Arbor Mich., L, 9-22,
203.html , Winter 2007-2008 Wrestling Schedule,  Dec 30 (Sun) 04:00 PM, Michigan, Ann Arbor Mich., L, 9-33,
203.html , Winter 2007-2008 Wrestling Schedule,  Jan 4 (Fri) 07:00 PM, Stanford, Leeman-Turner Arena, W, 21-16,
203.html , Winter 2007-2008 Wrestling Schedule,  Jan 11 (Fri) 11:00 AM, No. 17 Illinois, Hampton Va., L, 3-29,
203.html , Winter 2007-2008 Wrestling Schedule,  Jan 11 (Fri) 3:00:00 PM, Bucknell, Hampton Va., W, 16-15 Lehigh advances on 5th Criteria,
203.html , Winter 2007-2008 Wrestling Schedule,  Jan 12 (Sat) 10:00 AM, Rider, Hampton Va., W, 21-11,
203.html , Winter 2007-2008 Wrestling Schedule,  Jan 12 (Sat) 04:00 PM, Virginia, Hampton Va., L, 9-27,
203.html , Winter 2007-2008 Wrestling Schedule,  Jan 19 (Sat) 7:00:00 PM, No. 23 Navy, Leeman-Turner Arena, W, 22-19,
203.html , Winter 2007-2008 Wrestling Schedule,  Jan 26 (Sat) 11:00:00 AM, Harvard, Cambridge Mass., W, 23-15,
203.html , Winter 2007-2008 Wrestling Schedule,  Jan 26 (Sat) 6:00:00 PM, Brown, Providence R.I., W, 25-9,
203.html , Winter 2007-2008 Wrestling Schedule,  Feb 8 (Fri) 07:00 PM, Hofstra, Leeman-Turner Arena, L, 11-25,
203.html , Winter 2007-2008 Wrestling Schedule,  Feb 14 (Thu) 07:00 PM, Rider, Leeman-Turner Arena, W, 24-16,
203.html , Winter 2007-2008 Wrestling Schedule,  Feb 17 (Sun) 4:00:00 PM, Army, West Point N.Y., L, 15-18,
203.html , Winter 2007-2008 Wrestling Schedule,  Feb 24 (Sun) 05:00 PM, Drexel, Philadelphia Pa., W, 26-12,
203.html , Winter 2007-2008 Wrestling Schedule,  Feb 24 (Sun) 1:00:00 PM, No. 25 Penn, Philadelphia Pa., L, 15-24,
203.html , Winter 2007-2008 Wrestling Schedule,  Mar 8 (Sat) 10:30 AM, EIWA Championships, Lancaster Pa., 7th, 30 pts.,
203.html , Winter 2007-2008 Wrestling Schedule,  Mar 9 (Sun) 06:30 PM, EIWA Finals, Lancaster Pa., 5th, 67.5 pts,
203.html , Winter 2007-2008 Wrestling Schedule,  Mar 20 (Thu) 12:00 PM, NCAA Championships, St. Louis Mo., t-54th, 0 pts.,
203.html , Winter 2007-2008 Wrestling Schedule,  Mar 20 (Thu) 07:30 PM, NCAA Championships, St. Louis Mo., t-33rd, 5 pts.,
203.html , Winter 2007-2008 Wrestling Schedule,  Mar 21 (Fri) 11:00 AM, NCAA Championships, St. Louis Mo., t-41st, 5.5 pts,
203.html , Winter 2007-2008 Wrestling Schedule,  Mar 29 (Sat) 05:00 PM, Lewis Wrestling Dinner, (Wood Dining Room Iacocca Hall) (For information call 610-758-6855), Na,recap,
204.html , Fall 2010 Women's Soccer Schedule,  Aug 27 (Fri) 07:00 PM, Syracuse, Syracuse N.Y., T, 1-1,
204.html , Fall 2010 Women's Soccer Schedule,  Sep 5 (Sun) 1:00:00 PM, Quinnipiac, Ulrich Sports Complex, W, 3-2,
204.html , Fall 2010 Women's Soccer Schedule,  Sep 10 (Fri) 03:00 PM, Dayton, Philadelphia Pa., L, 2-3,
204.html , Fall 2010 Women's Soccer Schedule,  Sep 12 (Sun) 02:30 PM, St. Josephs, Philadelphia Pa., W, 4-1,
204.html , Fall 2010 Women's Soccer Schedule,  Sep 17 (Fri) 7:00:00 PM, Marist, Ulrich Sports Complex, W, 2-1,
204.html , Fall 2010 Women's Soccer Schedule,  Sep 24 (Fri) 7:00:00 PM, La Salle, Ulrich Sports Complex, W, 3-1,
204.html , Fall 2010 Women's Soccer Schedule,  Sep 26 (Sun) 01:00 PM, Columbia, New York N.Y, T, 1-1,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 1 (Fri) 7:00:00 PM, Army, West Point N.Y., L, 0-1,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 3 (Sun) 1:00:00 PM, NJIT, Ulrich Sports Complex, W, 6-0,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 8 (Fri) 7:00:00 PM, Colgate, Ulrich Sports Complex, W, 3-1,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 10 (Sun) 1:00:00 PM, Bucknell, Ulrich Sports Complex, W, 2-1,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 13 (Wed) 07:00 PM, Princeton, Princeton N.J., L, 0-1,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 16 (Sat) 4:00:00 PM, Holy Cross, Ulrich Sports Complex, W, 3-0,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 22 (Fri) 7:00:00 PM, Navy, Annapolis Md., T, 1-1,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 24 (Sun) 1:00:00 PM, American, Washington D.C., T, 1-1,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 27 (Wed) 05:00 PM, Penn, Philadelphia Pa., L, 0-2,
204.html , Fall 2010 Women's Soccer Schedule,  Oct 30 (Sat) 7:00:00 PM, Lafayette, Easton Pa., W, 1-0,
204.html , Fall 2010 Women's Soccer Schedule,  Nov 5 (Fri) Nov 7 (Sun), No. 2 Bucknell, West Point N.Y., W, 1-0,
204.html , Fall 2010 Women's Soccer Schedule,  Nov 7 (Sun) 1:00:00 PM, No. 1 Army, West Point N.Y., W, 1-0,
204.html , Fall 2010 Women's Soccer Schedule,  Nov 12 (Fri) 5:00:00 PM, No. 2 Virginia, Charlottesville Va., L, 0-3,
205.html , Fall 2007 Cross Country Schedule,  Aug 31 (Fri) 04:00 PM, Muhlenberg Short Course Meet, Allentown Pa., Unscored Meet,
205.html , Fall 2007 Cross Country Schedule,  Sep 7 (Fri) 05:00 PM, Lehigh Valley Championship, Goodman Campus, Men 1 of 6  Women 1 of 6,
205.html , Fall 2007 Cross Country Schedule,  Sep 15 (Sat) 09:30 AM, Lafayette, Easton Pa., Men W, 16-47  Women W, 22-35,
205.html , Fall 2007 Cross Country Schedule,  Sep 28 (Fri) 01:00 PM, Paul Short Invitational, Goodman Campus, Men - 21 of 41Women - 32 of 47,
205.html , Fall 2007 Cross Country Schedule,  Oct 12 (Fri) 10:00 AM, Penn State National Invite, University Park Pa., Men 12 of 20  Women 16 of 25,
205.html , Fall 2007 Cross Country Schedule,  Oct 13 (Sat) 10:00 AM, Lafayette Invitational, Easton Pa., Men, DNF  Women, 11 of 11,
205.html , Fall 2007 Cross Country Schedule,  Oct 27 (Sat) 11:00 AM, Patriot League Championships, Easton Pa., Men, 5 of 8  Women, 6 of 8,
205.html , Fall 2007 Cross Country Schedule,  Nov 10 (Sat) 11:00 AM, NCAA Mid-Atlantic Qualifiers, Goodman Campus, Men 12 of 28  Women 19 of 28,
206.html , Spring 2007 Men's Lacrosse Schedule,  Feb 13 (Tue) 03:00 PM, Marist, Ulrich Sports Complex, Cancelled,
206.html , Spring 2007 Men's Lacrosse Schedule,  Feb 21 (Wed) 03:00 PM, No. 15 Delaware, Newark Del., L, 5-9,
206.html , Spring 2007 Men's Lacrosse Schedule,  Feb 24 (Sat) 02:30 PM, No. 17 Drexel, Ulrich Sports Complex, W, 8-6,
206.html , Spring 2007 Men's Lacrosse Schedule,  Feb 28 (Wed) 03:00 PM, Penn, Philadelphia Pa., L, 12-13,
206.html , Spring 2007 Men's Lacrosse Schedule,  Mar 3 (Sat) 01:00 PM, Holy Cross, Worcester Mass., W, 9-8 OT,
206.html , Spring 2007 Men's Lacrosse Schedule,  Mar 10 (Sat) 01:00 PM, No. 6/7 Navy, Ulrich Sports Complex, L, 5-9,
206.html , Spring 2007 Men's Lacrosse Schedule,  Mar 17 (Sat) 01:00 PM, Villanova, Villanova Pa., Postponed,
206.html , Spring 2007 Men's Lacrosse Schedule,  Mar 20 (Tue) 07:30 PM, No. 8/13 Army, West Point N.Y., L, 6-7,
206.html , Spring 2007 Men's Lacrosse Schedule,  Mar 24 (Sat) 04:00 PM, No. 20 Stony Brook, Stony Brook N.Y., L, 9-10,
206.html , Spring 2007 Men's Lacrosse Schedule,  Mar 30 (Fri) 07:00 PM, Lafayette, Ulrich Sports Complex, W, 8-3,
206.html , Spring 2007 Men's Lacrosse Schedule,  Apr 7 (Sat) 01:00 PM, Colgate, Ulrich Sports Complex, L, 8-10,
206.html , Spring 2007 Men's Lacrosse Schedule,  Apr 11 (Wed) 07:00 PM, Saint Joseph's, Ulrich Sports Complex, W, 12-2,
206.html , Spring 2007 Men's Lacrosse Schedule,  Apr 14 (Sat) 08:00 PM, No. 12/13 Bucknell, Lewisburg Pa., L, 5-11,
206.html , Spring 2007 Men's Lacrosse Schedule,  Apr 18 (Wed) 07:00 PM, Villanova, Villanova Pa., L, 7-15,
206.html , Spring 2007 Men's Lacrosse Schedule,  Apr 21 (Sat) 11:00 AM, No. 11 Notre Dame, South Bend Ind., L, 2-14,
207.html , Fall 2007 Field Hockey Schedule,  Aug 25 (Sat) 07:00 PM, Temple, Ulrich Sports Complex, Postponed,
207.html , Fall 2007 Field Hockey Schedule,  Aug 26 (Sun) 11:30 AM, Temple, Ulrich Sports Complex, L, 1-3,
207.html , Fall 2007 Field Hockey Schedule,  Aug 31 (Fri) 07:00 PM, Cornell, Ulrich Sports Complex, L, 1-2,
207.html , Fall 2007 Field Hockey Schedule,  Sep 2 (Sun) 12:00 PM, West Chester, West Chester Pa., L, 2-3,
207.html , Fall 2007 Field Hockey Schedule,  Sep 5 (Wed) 04:00 PM, Fairfield, Fairfield Conn., W, 3-1,
207.html , Fall 2007 Field Hockey Schedule,  Sep 8 (Sat) 12:00 PM, Georgetown, Ulrich Sports Complex, W, 5-4 OT,
207.html , Fall 2007 Field Hockey Schedule,  Sep 11 (Tue) 07:00 PM, St. Francis (Pa.), Loretto Pa., W, 3-1,
207.html , Fall 2007 Field Hockey Schedule,  Sep 15 (Sat) 01:00 PM, Columbia, New York N.Y., L, 1-2,
207.html , Fall 2007 Field Hockey Schedule,  Sep 21 (Fri) 03:00 PM, La Salle, Ulrich Sports Complex, W, 3-1,
207.html , Fall 2007 Field Hockey Schedule,  Sep 23 (Sun) 01:00 PM, Villanova, Ulrich Sports Complex, L, 2-5,
207.html , Fall 2007 Field Hockey Schedule,  Sep 29 (Sat) 7:00:00 PM, Bucknell, Ulrich Sports Complex, W, 3-2 OT,
207.html , Fall 2007 Field Hockey Schedule,  Oct 6 (Sat) 1:00:00 PM, Lafayette, Easton Pa., L, 2-3,
207.html , Fall 2007 Field Hockey Schedule,  Oct 10 (Wed) 07:00 PM, Rider, Ulrich Sports Complex, W, 4-2,
207.html , Fall 2007 Field Hockey Schedule,  Oct 13 (Sat) 12:00:00 PM, Holy Cross, Worcester Mass., W, 3-2 OT,
207.html , Fall 2007 Field Hockey Schedule,  Oct 17 (Wed) 06:00 PM, No. 20 Princeton, Princeton N.J., L, 2-4,
207.html , Fall 2007 Field Hockey Schedule,  Oct 21 (Sun) 2:00:00 PM, No. 17 American, Washington D.C., L, 1-6,
207.html , Fall 2007 Field Hockey Schedule,  Oct 24 (Wed) 07:00 PM, Drexel, Ulrich Sports Complex, L, 1-4,
207.html , Fall 2007 Field Hockey Schedule,  Oct 27 (Sat) 11:30:00 AM, Colgate, Ulrich Sports Complex, W, 3-2 OT,
207.html , Fall 2007 Field Hockey Schedule,  Nov 2 (Fri) 01:30 PM, Lafayette, Washington D.C., L, 0-2,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Nov 15 (Sat) 04:00 PM, St. Peter's, Jersey City N.J., W, 79-62,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Nov 17 (Mon) 07:00 PM, Delaware State, Stabler Arena, W, 76-58,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Nov 20 (Thu) 07:00 PM, Rider, Stabler Arena, L, 68-69,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Nov 24 (Mon) 07:00 PM, St. Francis (Pa.), Stabler Arena, W, 61-56,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Nov 26 (Wed) 07:30 PM, Rutgers, Piscataway N.J., W, 76-71,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Nov 29 (Sat) 02:00 PM, Dartmouth, Hanover N.H., W, 73-60,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Dec 2 (Tue) 07:00 PM, St. Joseph's, Stabler Arena, L, 64-77,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Dec 5 (Fri) 07:00 PM, Stony Brook, Stony Brook N.Y., L, 50-71,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Dec 8 (Mon) 07:00 PM, Albany, Stabler Arena, W, 65-64,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Dec 21 (Sun) 01:00 PM, Monmouth, West Long Branch N.J., W, 80-71,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Dec 23 (Tue) 06:00 PM, Washington, Seattle Wash., Postponed,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Dec 28 (Sun) 01:00 PM, Longwood, Stabler Arena, W, 72-57,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Dec 31 (Wed) 02:00 PM, NJIT, Newark N.J., W, 66-38,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Jan 2 (Fri) 04:30 PM, Columbia, Stabler Arena, W, 73-59,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Jan 7 (Wed) 07:00 PM, Princeton, Princeton N.J., L, 64-73,
208.html , Winter 2008-2009 Men's Basketball Schedule,  Jan 10 (Sat) 2:00:00 PM, American, Washington D.C., L, 66-76 OT,
